Frequency_Hz	Amplitude_dBm
821507807.500000	-62.744343
829257796.250000	-62.952129
837007785.000000	-62.370464
844757773.750000	-63.174129
852507762.500000	-63.176018
860257751.250000	-63.503201
868007740.000000	-62.871136
875757728.750000	-61.036945
883507717.500000	-63.454025
891257706.250000	-62.974735
899007695.000000	-63.702950
906757683.750000	-63.533489
914507672.500000	-62.414680
922257661.250000	-62.330376
930007650.000000	-63.165791
937757638.750000	-63.612717
945507627.500000	-62.581409
953257616.250000	-63.693508
961007605.000000	-62.499859
968757593.750000	-62.534626
976507582.500000	-63.060280
984257571.250000	-62.230473
992007560.000000	-62.209812
999757548.750000	-62.242615
1007507537.500000	-63.541023
1015257526.250000	-63.507893
1023007515.000000	-63.181969
1030757503.750000	-62.958813
1038507492.500000	-62.217960
1046257481.250000	-63.009148
1054007470.000000	-62.668571
1061757458.750000	-62.306282
1069507447.500000	-61.970165
1077257436.250000	-62.002464
1085007425.000000	-62.633389
1092757413.750000	-62.025719
1100507402.500000	-62.269367
1108257391.250000	-63.145016
1116007380.000000	-63.088310
1123757368.750000	-63.325832
1131507357.500000	-63.323166
1139257346.250000	-62.948448
1147007335.000000	-63.008480
1154757323.750000	-63.312389
1162507312.500000	-61.993080
1170257301.250000	-62.553162
1178007290.000000	-63.421104
1185757278.750000	-63.039555
1193507267.500000	-63.056103
1201257256.250000	-61.109921
1209007245.000000	-61.693790
1216757233.750000	-61.872776
1224507222.500000	-64.045380
1232257211.250000	-62.391384
1240007200.000000	-62.866791
1247757188.750000	-61.774410
1255507177.500000	-63.474731
1263257166.250000	-63.049339
1271007155.000000	-62.208893
1278757143.750000	-62.766296
1286507132.500000	-62.946640
1294257121.250000	-62.980236
1302007110.000000	-63.475861
1309757098.750000	-62.086742
1317507087.500000	-63.045147
1325257076.250000	-62.443687
1333007065.000000	-63.115433
1340757053.750000	-63.288704
1348507042.500000	-62.878357
1356257031.250000	-62.578472
1364007020.000000	-62.324646
1371757008.750000	-62.713905
1379506997.500000	-62.703083
1387256986.250000	-62.206032
1395006975.000000	-62.058022
1402756963.750000	-63.018204
1410506952.500000	-63.893021
1418256941.250000	-61.935551
1426006930.000000	-63.185188
1433756918.750000	-62.688526
1441506907.500000	-63.382530
1449256896.250000	-62.925171
1457006885.000000	-61.393467
1464756873.750000	-62.793400
1472506862.500000	-62.489769
1480256851.250000	-63.247517
1488006840.000000	-61.679356
1495756828.750000	-61.713356
1503506817.500000	-62.586246
1511256806.250000	-62.569992
1519006795.000000	-62.690594
1526756783.750000	-61.593071
1534506772.500000	-61.919510
1542256761.250000	-62.023422
1550006750.000000	-63.081657
1557756738.750000	-62.688889
1565506727.500000	-61.915405
1573256716.250000	-62.114258
1581006705.000000	-61.934975
1588756693.750000	-63.001225
1596506682.500000	-61.873672
1604256671.250000	-61.997032
1612006660.000000	-61.905731
1619756648.750000	-62.010090
1627506637.500000	-62.067394
1635256626.250000	-61.846973
1643006615.000000	-62.952885
1650756603.750000	-63.226025
1658506592.500000	-63.234009
1666256581.250000	-63.392754
1674006570.000000	-62.200138
1681756558.750000	-62.945744
1689506547.500000	-62.782269
1697256536.250000	-63.049667
1705006525.000000	-62.113773
1712756513.750000	-63.576588
1720506502.500000	-62.738811
1728256491.250000	-63.447845
1736006480.000000	-63.206459
1743756468.750000	-62.222427
1751506457.500000	-63.263714
1759256446.250000	-63.070908
1767006435.000000	-62.363194
1774756423.750000	-63.008293
1782506412.500000	-62.073853
1790256401.250000	-61.927273
1798006390.000000	-62.447170
1805756378.750000	-62.945328
1813506367.500000	-62.357708
1821256356.250000	-62.428669
1829006345.000000	-62.190872
1836756333.750000	-63.044872
1844506322.500000	-63.366772
1852256311.250000	-60.959190
1860006300.000000	-61.691143
1867756288.750000	-61.334866
1875506277.500000	-60.936783
1883256266.250000	-61.078289
1891006255.000000	-60.003548
1898756243.750000	-61.346069
1906506232.500000	-61.108669
1914256221.250000	-62.136311
1922006210.000000	-60.455769
1929756198.750000	-61.624268
1937506187.500000	-61.465927
1945256176.250000	-62.208313
1953006165.000000	-62.059692
1960756153.750000	-61.034740
1968506142.500000	-61.819046
1976256131.250000	-60.929405
1984006120.000000	-60.583057
1991756108.750000	-60.972279
1999506097.500000	-61.138657
2007256086.250000	-62.371902
2015006075.000000	-61.840195
2022756063.750000	-61.926365
2030506052.500000	-60.645935
2038256041.250000	-61.074490
2046006030.000000	-61.338852
2053756018.750000	-61.301903
2061506007.500000	-60.659111
2069255996.250000	-59.899918
2077005985.000000	-60.770947
2084755973.750000	-60.701523
2092505962.500000	-61.792862
2100255951.250000	-61.585762
2108005940.000000	-59.734921
2115755928.750000	-61.236599
2123505917.500000	-61.270432
2131255906.250000	-61.304710
2139005895.000000	-60.701046
2146755883.750000	-60.195343
2154505872.500000	-61.137821
2162255861.250000	-61.702335
2170005850.000000	-62.023254
2177755838.750000	-60.510010
2185505827.500000	-61.745716
2193255816.250000	-61.081795
2201005805.000000	-60.778358
2208755793.750000	-60.062069
2216505782.500000	-60.919132
2224255771.250000	-62.521400
2232005760.000000	-61.562099
2239755748.750000	-62.014591
2247505737.500000	-60.662067
2255255726.250000	-61.559582
2263005715.000000	-61.792385
2270755703.750000	-61.894142
2278505692.500000	-61.023216
2286255681.250000	-60.481636
2294005670.000000	-61.782230
2301755658.750000	-60.629841
2309505647.500000	-61.693096
2317255636.250000	-61.173874
2325005625.000000	-61.526978
2332755613.750000	-61.231968
2340505602.500000	-61.339348
2348255591.250000	-61.984798
2356005580.000000	-60.078915
2363755568.750000	-60.909969
2371505557.500000	-62.242599
2379255546.250000	-61.650784
2387005535.000000	-61.252491
2394755523.750000	-61.036102
2402505512.500000	-61.326748
2410255501.250000	-61.015026
2418005490.000000	-61.075233
2425755478.750000	-61.504669
2433505467.500000	-60.662575
2441255456.250000	-61.894283
2449005445.000000	-61.047867
2456755433.750000	-61.988083
2464505422.500000	-60.834957
2472255411.250000	-60.692898
2480005400.000000	-61.006580
2487755388.750000	-61.421124
2495505377.500000	-61.283581
2503255366.250000	-60.046314
2511005355.000000	-60.883137
2518755343.750000	-61.400417
2526505332.500000	-61.229794
2534255321.250000	-61.091797
2542005310.000000	-61.016972
2549755298.750000	-62.143066
2557505287.500000	-61.332127
2565255276.250000	-62.303135
2573005265.000000	-60.760273
2580755253.750000	-60.943882
2588505242.500000	-60.653675
2596255231.250000	-61.567150
2604005220.000000	-62.190651
2611755208.750000	-60.236576
2619505197.500000	-61.381992
2627255186.250000	-60.866898
2635005175.000000	-61.199627
2642755163.750000	-61.983337
2650505152.500000	-60.109402
2658255141.250000	-61.257938
2666005130.000000	-60.902218
2673755118.750000	-61.294758
2681505107.500000	-60.179222
2689255096.250000	-60.479885
2697005085.000000	-60.343079
2704755073.750000	-61.320690
2712505062.500000	-61.377209
2720255051.250000	-60.546154
2728005040.000000	-61.307888
2735755028.750000	-60.875969
2743505017.500000	-61.800945
2751255006.250000	-61.676025
2759004995.000000	-59.409004
2766754983.750000	-61.081429
2774504972.500000	-59.991425
2782254961.250000	-60.810398
2790004950.000000	-59.936600
2797754938.750000	-61.020397
2805504927.500000	-60.889576
2813254916.250000	-60.829292
2821004905.000000	-61.108078
2828754893.750000	-60.145214
2836504882.500000	-60.566502
2844254871.250000	-60.157024
2852004860.000000	-61.242535
2859754848.750000	-60.785622
2867504837.500000	-60.791389
2875254826.250000	-61.047501
2883004815.000000	-61.374283
2890754803.750000	-62.790451
2898504792.500000	-60.231064
2906254781.250000	-60.703194
2914004770.000000	-61.177296
2921754758.750000	-61.634674
2929504747.500000	-60.983189
2937254736.250000	-60.603199
2945004725.000000	-61.249416
2952754713.750000	-61.025406
2960504702.500000	-61.713070
2968254691.250000	-61.775677
2976004680.000000	-60.553062
2983754668.750000	-61.328613
2991504657.500000	-60.868538
2999254646.250000	-61.836533
3007004635.000000	-59.630417
3014754623.750000	-61.221840
3022504612.500000	-60.606033
3030254601.250000	-61.255848
3038004590.000000	-62.399849
3045754578.750000	-60.330635
3053504567.500000	-61.576382
3061254556.250000	-60.913834
3069004545.000000	-60.395489
3076754533.750000	-60.546375
3084504522.500000	-60.883240
3092254511.250000	-60.825672
3100004500.000000	-61.130917
3107754488.750000	-62.129917
3115504477.500000	-59.867996
3123254466.250000	-61.079346
3131004455.000000	-61.136028
3138754443.750000	-61.692879
3146504432.500000	-61.962193
3154254421.250000	-60.106140
3162004410.000000	-61.762299
3169754398.750000	-61.443035
3177504387.500000	-61.027302
3185254376.250000	-61.588806
3193004365.000000	-60.128601
3200754353.750000	-61.886929
3208504342.500000	-60.443401
3216254331.250000	-61.824619
3224004320.000000	-60.972858
3231754308.750000	-59.834145
3239504297.500000	-60.646774
3247254286.250000	-60.932522
3255004275.000000	-61.214634
3262754263.750000	-60.631313
3270504252.500000	-61.352333
3278254241.250000	-61.981823
3286004230.000000	-61.989262
3293754218.750000	-60.590218
3301504207.500000	-60.528584
3309254196.250000	-60.610985
3317004185.000000	-61.079643
3324754173.750000	-61.623920
3332504162.500000	-60.731895
3340254151.250000	-61.989895
3348004140.000000	-61.250721
3355754128.750000	-62.104115
3363504117.500000	-61.498741
3371254106.250000	-61.940533
3379004095.000000	-61.898788
3386754083.750000	-61.186741
3394504072.500000	-61.471706
3402254061.250000	-61.738861
3410004050.000000	-61.616158
3417754038.750000	-61.849857
3425504027.500000	-61.127552
3433254016.250000	-61.699116
3441004005.000000	-60.916824
3448753993.750000	-61.348064
3456503982.500000	-60.971008
3464253971.250000	-60.946217
3472003960.000000	-61.814857
3479753948.750000	-59.764950
3487503937.500000	-61.643539
3495253926.250000	-61.544987
3503003915.000000	-61.745285
3510753903.750000	-61.725235
3518503892.500000	-61.113010
3526253881.250000	-62.087200
3534003870.000000	-60.404701
3541753858.750000	-62.537731
3549503847.500000	-60.322483
3557253836.250000	-61.126415
3565003825.000000	-61.432785
3572753813.750000	-62.041992
3580503802.500000	-61.178974
3588253791.250000	-60.766647
3596003780.000000	-61.577991
3603753768.750000	-61.662201
3611503757.500000	-61.256447
3619253746.250000	-61.072094
3627003735.000000	-60.110111
3634753723.750000	-61.169029
3642503712.500000	-61.930035
3650253701.250000	-62.614285
3658003690.000000	-61.123329
3665753678.750000	-62.485653
3673503667.500000	-61.630619
3681253656.250000	-60.912605
3689003645.000000	-62.031174
3696753633.750000	-59.706833
3704503622.500000	-59.997139
3712253611.250000	-61.072762
3720003600.000000	-61.915443
3727753588.750000	-61.146587
3735503577.500000	-61.411179
3743253566.250000	-61.534821
3751003555.000000	-61.837399
3758753543.750000	-62.317596
3766503532.500000	-60.889980
3774253521.250000	-60.887600
3782003510.000000	-61.549622
3789753498.750000	-61.341965
3797503487.500000	-62.221733
3805253476.250000	-60.926804
3813003465.000000	-61.064350
3820753453.750000	-60.452290
3828503442.500000	-62.485825
3836253431.250000	-61.329739
3844003420.000000	-59.990681
3851753408.750000	-60.470253
3859503397.500000	-60.510868
3867253386.250000	-61.599934
3875003375.000000	-60.572495
3882753363.750000	-60.708893
3890503352.500000	-61.378826
3898253341.250000	-60.295921
3906003330.000000	-60.872810
3913753318.750000	-60.326374
3921503307.500000	-61.673149
3929253296.250000	-60.853680
3937003285.000000	-60.729324
3944753273.750000	-59.728779
3952503262.500000	-60.973625
3960253251.250000	-61.305023
3968003240.000000	-60.926685
3975753228.750000	-61.552811
3983503217.500000	-59.682533
3991253206.250000	-60.296078
3999003195.000000	-60.363018
4006753183.750000	-61.175915
4014503172.500000	-61.079697
4022253161.250000	-60.342194
4030003150.000000	-61.267612
4037753138.750000	-61.183876
4045503127.500000	-62.425278
4053253116.250000	-61.377445
4061003105.000000	-60.753117
4068753093.750000	-61.042572
4076503082.500000	-61.889690
4084253071.250000	-62.386616
4092003060.000000	-61.312145
4099753048.750000	-61.307003
4107503037.500000	-61.247562
4115253026.250000	-61.742214
4123003015.000000	-62.430065
4130753003.750000	-60.459988
4138502992.500000	-60.768929
4146252981.250000	-61.300167
4154002970.000000	-61.218338
4161752958.750000	-61.470814
4169502947.500000	-63.177872
4177252936.250000	-63.972454
4185002925.000000	-63.143780
4192752913.750000	-63.004227
4200502902.500000	-62.978474
4208252891.250000	-62.772522
4216002880.000000	-63.466991
4223752868.750000	-62.895226
4231502857.500000	-63.573147
4239252846.250000	-61.718472
4247002835.000000	-60.709888
4254752823.750000	-60.816280
4262502812.500000	-61.473137
4270252801.250000	-61.357517
4278002790.000000	-60.784149
4285752778.750000	-61.584835
4293502767.500000	-61.022835
4301252756.250000	-61.333321
4309002745.000000	-60.862427
4316752733.750000	-60.950954
